figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Epizeuxis,"one",109,9,12,"CD","CD",1,"on"
0,1,Epizeuxis,"one",109,13,16,"CD","CD",4,"on"
1,0,Epizeuxis,"like",397,8,12,"VB","VB",6,"like"
1,1,Epizeuxis,"him",397,12,15,"PRP","WP",5,"him"
1,2,Epizeuxis,"like",397,16,20,"IN","IN",5,"like"
1,3,Epizeuxis,"him",397,20,23,"PRP","WP",2,"him"
2,0,Epizeuxis,"mine",503,11,15,"NN","NN",1,"mine"
2,1,Epizeuxis,"mine",503,16,20,"PRP","WP",4,"mine"
3,0,Epizeuxis,"all",509,12,15,"DT","DT",2,"all"
3,1,Epizeuxis,"or",509,16,18,"CC","CC",4,"or"
3,2,Epizeuxis,"all",509,18,21,"DT","DT",2,"all"
3,3,Epizeuxis,"or",509,22,24,"CC","CC",1,"or"
4,0,Epizeuxis,"form",593,19,23,"NN","NN",2,"form"
4,1,Epizeuxis,"form",593,23,27,"VB","VB",2,"form"
5,0,Epizeuxis,"one",730,23,26,"NN","NN",1,"on"
5,1,Epizeuxis,"one",730,27,30,"CD","CD",1,"on"
6,0,Epizeuxis,"none",741,10,14,"NN","NN",2,"none"
6,1,Epizeuxis,"none",741,15,19,"NN","NN",1,"none"
7,0,Epizeuxis,"And",1045,0,3,"CC","CC",6,"And"
7,1,Epizeuxis,"by",1045,3,5,"IN","IN",5,"by"
7,2,Epizeuxis,"and",1045,5,8,"CC","CC",5,"and"
7,3,Epizeuxis,"by",1045,8,10,"IN","IN",5,"by"
8,0,Epizeuxis,"now",1246,30,33,"RB","RB",1,"now"
8,1,Epizeuxis,"Now",1247,0,3,"RB","RB",8,"Now"
9,0,Epizeuxis,"mine",1343,12,16,"NN","NN",1,"mine"
9,1,Epizeuxis,"mine",1343,17,21,"PRP","WP",4,"mine"
10,0,Epizeuxis,"you",1369,10,13,"PRP","WP",1,"you"
10,1,Epizeuxis,"you",1369,14,17,"PRP","WP",4,"you"
11,0,Epizeuxis,"most",1540,16,20,"JJS","JJ",1,"most"
11,1,Epizeuxis,"most",1540,20,24,"RBS","RB",2,"most"
12,0,Epizeuxis,"music",1777,17,22,"NN","NN",2,"music"
12,1,Epizeuxis,"music",1777,23,28,"NN","NN",1,"music"
13,0,Epizeuxis,"mad",1798,27,30,"JJ","JJ",1,"mad"
13,1,Epizeuxis,"Mad",1799,0,3,"VBG","VB",4,"Mad"
14,0,Epizeuxis,"Will",1893,1,5,"JJ","JJ",4,"Will"
14,1,Epizeuxis,"will",1893,7,11,"MD","MD",4,"will"
15,0,Epizeuxis,"hate",1973,28,32,"NN","NN",1,"hate"
15,1,Epizeuxis,"Hate",1974,0,4,"NNP","NN",3,"Hate"
16,0,Epizeuxis,"my",2029,20,22,"PRP$","WP",1,"my"
16,1,Epizeuxis,"sinful",2029,22,28,"JJ","JJ",1,"sin"
16,2,Epizeuxis,"earth",2029,28,33,"NN","NN",1,"earth"
16,3,Epizeuxis,"My",2030,0,2,"PRP$","WP",2,"My"
16,4,Epizeuxis,"sinful",2030,2,8,"NN","NN",2,"sin"
16,5,Epizeuxis,"earth",2030,8,13,"VBZ","VB",2,"earth"
17,0,Epizeuxis,"water",2154,15,20,"NN","NN",1,"water"
17,1,Epizeuxis,"water",2154,21,26,"NN","NN",3,"water"
